path,kind,reason,size_bytes
images/Czechia/Michal_Sadílek/04.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Michal_Sadílek/04.jpg',388
images/Czechia/Tomás_Soucek/02.jpg,unknown(b'Please s'),UnidentifiedImageError: cannot identify image file 'images/Czechia/Tomás_Soucek/02.jpg',126
images/Czechia/Tomás_Soucek/04.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Tomás_Soucek/04.jpg',849768
images/Czechia/Tomás_Soucek/09.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Tomás_Soucek/09.jpg',388
images/Czechia/Lukas_Hornicek/02.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Lukas_Hornicek/02.jpg',848613
images/Czechia/Pavel_Bucha/02.jpg,unknown(b''),UnidentifiedImageError: cannot identify image file 'images/Czechia/Pavel_Bucha/02.jpg',0
images/Czechia/Pavel_Bucha/06.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Pavel_Bucha/06.jpg',849000
images/Czechia/Pavel_Bucha/05.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Pavel_Bucha/05.jpg',302
images/Czechia/Pavel_Bucha/10.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Pavel_Bucha/10.jpg',848961
images/Czechia/Pavel_Bucha/09.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Pavel_Bucha/09.jpg',386
images/Czechia/Vladimír_Darida/01.jpg,unknown(b'Please s'),UnidentifiedImageError: cannot identify image file 'images/Czechia/Vladimír_Darida/01.jpg',126
images/Czechia/Vladimír_Darida/09.jpg,unknown(b'Please s'),UnidentifiedImageError: cannot identify image file 'images/Czechia/Vladimír_Darida/09.jpg',126
images/Czechia/David_Jurásek/03.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/David_Jurásek/03.jpg',848430
images/Czechia/David_Jurásek/05.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/David_Jurásek/05.jpg',33
images/Czechia/David_Jurásek/08.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/David_Jurásek/08.jpg',32
images/Czechia/Martin_Jedlicka/01.jpg,unknown(b'Please s'),UnidentifiedImageError: cannot identify image file 'images/Czechia/Martin_Jedlicka/01.jpg',126
images/Czechia/Martin_Jedlicka/08.jpg,html/xml,UnidentifiedImageError: cannot identify image file 'images/Czechia/Martin_Jedlicka/08.jpg',5653
